Method,,,,,,,,,,
Bridge,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Execute,,,,,,,,,,
0x9871efa4,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Deposit Into Strategy,,,,,,,,,,
Execute,,,,,,,,,,
Execute,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Redeem,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
0x1c8ef6c6,,,,,,,,,,
Mint,,,,,,,,,,
Execute,,,,,,,,,,
Execute,,,,,,,,,,
Multi Claim To Stakeland,,,,,,,,,,
Swap,,,,,,,,,,
I Relay Message,,,,,,,,,,
0x68cdab9c,,,,,,,,,,
Execute,,,,,,,,,,
0x1c4cb529,,,,,,,,,,
Borrow,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Swap,,,,,,,,,,
Approve,,,,,,,,,,
Transmit,,,,,,,,,,
Prove Withdrawal Transaction,,,,,,,,,,
Propose Block,,,,,,,,,,
Execute,,,,,,,,,,
Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens,,,,,,,,,,
Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens,,,,,,,,,,
Sigma Buy,,,,,,,,,,
0x5809d496,,,,,,,,,,
0x75713a08,,,,,,,,,,
0x263fd4a1,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Claim,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
0x9871efa4,,,,,,,,,,
Transfer,,,,,,,,,,
Increase Counter,,,,,,,,,,
Deposit ETH,,,,,,,,,,
Deposit ETH,,,,,,,,,,
Deposit With Expiry,,,,,,,,,,
Deposit With Expiry,,,,,,,,,,
Transfer,,,,,,,,,,
Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens,,,,,,,,,,
Claim,,,,,,,,,,
0x9871efa4,,,,,,,,,,
Deposit,,,,,,,,,,
Claim,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer From,,,,,,,,,,
Transfer,,,,,,,,,,
Wrap With Permit,,,,,,,,,,
Execute,,,,,,,,,,
Execute,,,,,,,,,,
Execute,,,,,,,,,,
Claim,,,,,,,,,,
Swap,,,,,,,,,,
Transfer,,,,,,,,,,
Flush Forwarder Tokens,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve And Call,,,,,,,,,,
All Batch,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Transfer,,,,,,,,,,
0x0162e2d0,,,,,,,,,,
Finalize Withdrawal Transaction,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
0x0b834b8e,,,,,,,,,,
Transfer,,,,,,,,,,
Delegate To,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Execute F Fs Yo,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Stake,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Deposit,,,,,,,,,,
Deposit,,,,,,,,,,
Deposit,,,,,,,,,,
Transfer,,,,,,,,,,
Swap Tokens Multiple V3ERC20To ERC20,,,,,,,,,,
Bond Withdrawal,,,,,,,,,,
Flashloan And Arb V2,,,,,,,,,,
Increase_unlock_time,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Send Batch Solana Unlock,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
0x0283db96,,,,,,,,,,
Deposit ETH,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Withdraw,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Resolve,,,,,,,,,,
Transfer,,,,,,,,,,
Send,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Execute F Fs Yo,,,,,,,,,,
Send,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Relay Message With Proof,,,,,,,,,,
Propose L2Output,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transmit,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Refinance Auction,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Buy With Eth,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Fill V3Relay,,,,,,,,,,
Transfer,,,,,,,,,,
0xb257b7af,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Claim,,,,,,,,,,
Transfer,,,,,,,,,,
Verify And Process Withdrawals,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Request Withdrawals With Permit,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Claim,,,,,,,,,,
Transfer,,,,,,,,,,
Set Approval For All,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Purchase Validator Ticket,,,,,,,,,,
Transfer,,,,,,,,,,
0x1a1da075,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Confirm Batch,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Withdraw,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Sweep Token,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Prove Block,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Mint,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
0x66a7417f,,,,,,,,,,
Swap Exact ETH For Tokens,,,,,,,,,,
Execute,,,,,,,,,,
0x66a7417f,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Deposit,,,,,,,,,,
Transfer,,,,,,,,,,
Send Message,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Swap,,,,,,,,,,
Swap,,,,,,,,,,
Commit,,,,,,,,,,
Execute,,,,,,,,,,
Validate Transaction Proof V1,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Mix Swap,,,,,,,,,,
Mix Swap,,,,,,,,,,
Mix Swap,,,,,,,,,,
Mix Swap,,,,,,,,,,
Mix Swap,,,,,,,,,,
Mint,,,,,,,,,,
Swap Exact Token For Yt,,,,,,,,,,
0x2c495b85,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Swap,,,,,,,,,,
Transfer,,,,,,,,,,
Earmark Rewards,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Stake,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
0x03010217,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Claim,,,,,,,,,,
Increase Counter,,,,,,,,,,
Execute,,,,,,,,,,
Withdraw,,,,,,,,,,
Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens,,,,,,,,,,
0x00000000,,,,,,,,,,
Bond Withdrawal,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
0x00000000,,,,,,,,,,
Multicall,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Mint,,,,,,,,,,
Transfer,,,,,,,,,,
0x252c4930,,,,,,,,,,
Execute,,,,,,,,,,
